City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
College,64.8569,-147.8028,48.2,42,20,1.03,US,1619290925
Kyren,51.6828,102.1408,31.39,90,100,0.54,RU,1619290889
Somain,50.3596,3.2811,55.4,41,0,11.5,FR,1619290926
Erzin,36.9559,36.2,71.6,46,0,4.61,TR,1619290926
Nukus,42.4531,59.6103,59.0,31,0,2.3,UZ,1619290926
Punta Alta,-38.8759,-62.0736,65.07,48,1,11.99,AR,1619290926
Shiyan,32.6475,110.7781,53.19,93,100,0.89,CN,1619290927
Nelson,-41.2833,173.2833,46.99,85,0,3.0,NZ,1619290927
Yar-Sale,66.8333,70.8333,24.75,96,56,4.34,RU,1619290925
Northam,51.0333,-4.2167,54.0,60,51,4.0,GB,1619290927
Yārāda,17.65,83.2667,82.4,83,40,2.3,IN,1619290928
Bubaque,11.2833,-15.8333,78.37,69,15,22.21,GW,1619290928
Riyadh,24.6877,46.7219,87.8,16,0,10.16,SA,1619290902
Anadyr,64.75,177.4833,32.0,93,75,15.66,RU,1619290928
Turan,16.0678,108.2208,80.6,94,40,1.14,VN,1619290929
Yaan,7.3833,8.5667,81.57,69,95,7.07,NG,1619290929
Taoudenni,22.6783,-3.9836,95.72,9,2,10.65,ML,1619290929
Hitoyoshi,32.2167,130.75,59.0,72,6,2.44,JP,1619290929
Conceição do Araguaia,-8.2578,-49.2647,89.6,58,0,8.05,BR,1619290868
Hualmay,-11.0964,-77.6139,72.39,72,9,10.71,PE,1619290930
Beloha,-25.1667,45.05,75.27,63,13,14.05,MG,1619290930
Kupang,-10.1667,123.5833,75.6,86,8,8.08,ID,1619290930
Vostok,46.4856,135.8833,26.85,44,8,8.48,RU,1619290931
Ternate,0.8,127.4,81.79,78,68,5.14,ID,1619290931
Okoneshnikovo,54.8377,75.0834,41.05,49,100,7.0,RU,1619290931
Cayenne,4.9333,-52.3333,79.0,89,75,6.91,GF,1619290932
Saint-Pierre,-21.3393,55.4781,77.0,88,75,27.63,RE,1619290844
Cowra,-33.8333,148.6833,41.83,86,4,0.98,AU,1619290932
Uribia,11.7139,-72.266,93.49,40,92,19.71,CO,1619290814
Ayan,56.45,138.1667,21.83,77,36,9.82,RU,1619290932
Port Lincoln,-34.7333,135.8667,57.56,71,0,4.03,AU,1619290933
Celestún,20.8667,-90.4,89.74,55,76,8.61,MX,1619290933
Bukama,-9.2,25.85,70.74,92,100,2.66,CD,1619290933
Vicuña,-30.0319,-70.7081,73.0,30,0,3.0,CL,1619290933
Nakhon Phanom,17.3333,104.4167,84.24,54,89,4.83,TH,1619290934
Souillac,-20.5167,57.5167,78.8,83,75,17.27,MU,1619290934
Najrān,17.4924,44.1277,86.0,16,75,11.5,SA,1619290934
Nome,64.5011,-165.4064,34.0,75,20,2.68,US,1619290935
Vestmanna,62.1564,-7.1664,48.2,71,100,6.91,FO,1619290935
Los Llanos de Aridane,28.6585,-17.9182,71.6,56,20,8.05,ES,1619290935
Novoul'yanovsk,54.1496,48.3891,44.6,87,100,6.71,RU,1619290935
Mount Isa,-20.7333,139.5,69.8,30,1,5.75,AU,1619290936
Laguna,38.421,-121.4238,66.99,37,20,10.36,US,1619290936
Veracruz,19.3333,-96.6667,97.0,49,20,6.91,MX,1619290719
Itoman,26.1247,127.6694,68.0,83,20,8.05,JP,1619290937
Hefei,31.8639,117.2808,59.0,88,90,8.95,CN,1619290937
Kumul,42.8,93.45,47.89,23,88,6.69,CN,1619290937
Shihezi,44.3,86.0333,40.82,36,0,5.19,CN,1619290938
Sines Municipality,37.9562,-8.8698,64.99,81,18,8.01,PT,1619290938
Arrondissement de Provins,48.5833,3.1667,60.8,41,0,9.22,FR,1619290938
Decatur,39.8403,-88.9548,55.4,88,90,8.05,US,1619290721
Tucumcari,35.1717,-103.725,73.4,20,1,13.8,US,1619290939
Lorengau,-2.0226,147.2712,81.01,76,92,4.38,PG,1619290939
Eirunepé,-6.6603,-69.8736,88.61,58,98,1.05,BR,1619290939
Kaya,13.0917,-1.0844,98.24,7,30,7.14,BF,1619290940
Dauriya,49.9333,116.8667,40.98,25,100,0.92,RU,1619290940
Klaksvík,62.2266,-6.589,48.2,71,100,6.91,FO,1619290940
Santarém,-2.4431,-54.7083,87.8,70,20,11.5,BR,1619290940
Rincon,32.296,-81.2354,66.0,100,90,11.5,US,1619290941
Antananarivo,-18.9137,47.5361,64.4,88,75,8.05,MG,1619290941
Storebø,60.0948,5.2271,45.0,56,20,14.97,NO,1619290941
Bandarbeyla,9.4942,50.8122,83.55,75,81,8.34,SO,1619290942
Maceió,-9.6658,-35.7353,86.0,66,20,9.22,BR,1619290942
Shenjiamen,29.9576,122.298,61.0,89,99,5.55,CN,1619290942
Okha,53.5739,142.9478,22.39,85,90,9.91,RU,1619290943
Saint-Augustin,51.226,-58.6502,39.24,75,89,11.12,CA,1619290943
Tasiilaq,65.6145,-37.6368,37.4,75,75,1.14,GL,1619290943
Te Anau,-45.4167,167.7167,47.26,93,100,6.6,NZ,1619290944
Crixás,-14.5489,-49.9692,87.17,43,25,1.36,BR,1619290944
Saint-François,46.4154,3.9054,68.0,40,0,9.22,FR,1619290944
Azatavan,39.9832,44.5053,64.4,32,0,16.11,AM,1619290945
Hofn,64.2539,-15.2082,47.26,83,100,6.4,IS,1619290945
Pitimbu,-7.4706,-34.8086,82.4,78,75,11.5,BR,1619290945
Mabaruma,8.2,-59.7833,81.32,77,98,7.81,GY,1619290945
Poyarkovo,49.6,128.6833,34.66,69,8,6.4,RU,1619290946
Havelock,34.8791,-76.9013,66.0,68,75,4.61,US,1619290880
Panórama,40.5878,23.0315,55.99,94,75,6.91,GR,1619290946
Luckenwalde,52.0833,13.1667,46.99,64,44,1.01,DE,1619290946
Morón,-34.6534,-58.6198,75.0,60,40,11.5,AR,1619290947
Kununurra,-15.7667,128.7333,57.2,77,9,5.64,AU,1619290947
Cockburn Town,21.4612,-71.1419,82.4,65,40,13.8,TC,1619290858
Kiryat Gat,31.61,34.7642,68.0,100,4,3.09,IL,1619290860
Naze,28.3667,129.4833,64.09,70,99,19.1,JP,1619290947
Novovyazniki,56.1975,42.1711,36.05,96,100,10.0,RU,1619290948
Kedrovyy,56.1667,91.8167,26.6,93,0,4.47,RU,1619290948
Aswān,24.0934,32.907,88.45,9,0,15.19,EG,1619290840
Xiongyue,40.1774,122.1228,47.97,60,5,14.34,CN,1619290948
Montluçon,46.3333,2.6,57.81,82,10,4.59,FR,1619290948
Saurimo,-9.6608,20.3916,65.41,93,98,2.98,AO,1619290949
Bilma,18.6853,12.9164,93.6,9,3,10.16,NE,1619290949
Woodward,36.4337,-99.3904,69.01,34,1,8.05,US,1619290949
Pando,-34.7167,-55.95,69.01,77,75,12.66,UY,1619290950
Marquette,46.5333,-87.6335,37.0,90,100,11.14,US,1619290950
Biga,40.2281,27.2422,53.6,87,75,16.11,TR,1619290950
Acapulco de Juárez,16.8634,-99.8901,89.6,43,90,9.22,MX,1619290811
Lerwick,60.1545,-1.1494,42.8,75,40,10.36,GB,1619290951
Saldanha,-33.0117,17.9442,64.4,63,100,8.05,ZA,1619290933
Pekan,3.4836,103.3996,78.8,89,20,6.67,MY,1619290951
Anloga,5.7947,0.8973,71.6,94,90,17.27,GH,1619290951
Dīnhāta,26.1333,89.4667,80.02,33,100,6.6,IN,1619290952
Tuymazy,54.6067,53.7097,42.35,93,100,5.14,RU,1619290952
Porto-Novo,6.4965,2.6036,86.0,74,40,13.8,BJ,1619290952
Klatovy,49.3955,13.2951,53.6,47,20,6.91,CZ,1619290953
Zanesville,39.9404,-82.0132,57.99,41,40,6.91,US,1619290953
Flin Flon,54.7682,-101.865,28.4,40,75,5.75,CA,1619290811
Mount Hagen,-5.8581,144.2274,59.31,98,100,1.86,PG,1619290953
Yakima,46.4665,-120.6678,53.01,58,90,4.61,US,1619290954
Poopó,-18.3667,-66.9667,56.82,16,2,24.02,BO,1619290954
Qinnan,33.2531,119.9133,57.33,96,100,7.94,CN,1619290954
Waingapu,-9.6567,120.2641,76.32,85,8,7.43,ID,1619290843
Daye,30.0833,114.95,59.7,94,100,4.25,CN,1619290955
Ngunguru,-35.6167,174.5,54.0,95,21,3.0,NZ,1619290955
Novyy Urgal,51.0736,132.5642,23.68,58,0,3.53,RU,1619290955
Hirara,24.8,125.2833,71.46,78,71,19.37,JP,1619290956
Mandalgovi,45.7625,106.2708,48.13,81,100,4.7,MN,1619290956
Lensk,60.7253,114.9278,25.09,96,100,3.49,RU,1619290956
Fort Nelson,58.8053,-122.7002,41.0,33,40,5.75,CA,1619290850
Constitución,-35.3333,-72.4167,65.1,57,6,16.26,CL,1619290957
Mogadishu,2.0371,45.3438,82.94,76,94,13.53,SO,1619290957
Dano,11.15,-3.0667,98.15,20,17,4.76,BF,1619290957
San Jerónimo,-11.9472,-75.2829,63.01,43,35,2.13,PE,1619290958
Maniitsoq,65.4167,-52.9,39.27,72,3,2.71,GL,1619290958
Kalat,29.0225,66.5916,63.1,25,0,5.3,PK,1619290958
Kuala Terengganu,5.3302,103.1408,75.2,100,40,2.3,MY,1619290959
Mattawa,46.7379,-119.9028,44.01,85,100,1.99,US,1619290959
Envira,-7.3,-70.2167,82.56,84,14,3.29,BR,1619290959
Carlos Chagas,-17.7031,-40.7664,83.32,55,36,5.23,BR,1619290959
Cap Malheureux,-19.9842,57.6142,79.0,82,100,10.0,MU,1619290960
Dongzhen,22.3797,110.9389,77.34,82,99,1.79,CN,1619290960
Mendoza,-32.8908,-68.8272,68.0,52,75,8.05,AR,1619290960
Rūdbār,30.15,62.6,77.79,9,3,8.63,AF,1619290961
Virginia Beach,36.8529,-75.978,68.0,42,90,12.66,US,1619290905
La Santisima Trinidad,-14.8333,-64.9,78.8,89,75,6.91,BO,1619290961
Ostrovnoy,68.0531,39.5131,36.19,99,100,4.54,RU,1619290962
Gao,16.6362,1.637,92.68,5,1,8.55,ML,1619290962
Whitehorse,60.7161,-135.0538,46.0,38,20,8.05,CA,1619290962
Jilib,0.4883,42.7854,79.65,76,10,6.55,SO,1619290962
Russell,32.3502,-85.1999,75.99,73,1,9.22,US,1619290811
Longyan,25.1072,117.0225,66.79,89,100,3.8,CN,1619290963
Bolu Province,40.6667,31.5833,49.51,94,100,5.41,TR,1619290963
Atasū,48.6814,71.6433,41.95,28,84,11.36,KZ,1619290964
Den Helder,52.9599,4.7593,46.4,71,75,13.8,NL,1619290964
Udachny,66.4167,112.4,17.56,97,100,4.16,RU,1619290964
Misratah,32.3754,15.0925,63.05,73,60,16.44,LY,1619290964
Makkah al Mukarramah,21.4267,39.8261,88.09,30,97,2.66,SA,1619290965
Quatre Cocos,-20.2078,57.7625,79.0,83,75,17.27,MU,1619290925
Tchibanga,-2.85,11.0333,73.92,93,100,2.01,GA,1619290965
Cametá,-2.2444,-49.4958,84.81,66,47,4.12,BR,1619290966
Tambo,-14.8,-73.9167,48.9,29,0,14.07,PE,1619290966
Litovko,49.2361,135.1742,33.1,55,7,9.35,RU,1619290966
Mackay,-21.15,149.2,68.0,100,90,4.61,AU,1619290966
Ous,60.9058,61.5186,42.75,82,100,7.23,RU,1619290967
Prince George,53.9166,-122.753,50.0,29,1,18.41,CA,1619290800
Malanje,-9.5402,16.341,64.53,96,93,3.56,AO,1619290967
Gaogou,34.0175,119.1886,56.19,95,100,8.32,CN,1619290967
Adrar,20.5022,-10.0711,90.64,11,6,10.71,MR,1619290937
Garoowe,8.4054,48.4845,80.85,66,38,14.99,SO,1619290968
Sovetskiy,61.3614,63.5842,43.18,94,100,2.95,RU,1619290968
Tarauacá,-8.1614,-70.7656,80.04,91,60,3.0,BR,1619290968
Ponnāni,10.767,75.9252,84.2,74,75,7.02,IN,1619290969
Ada,43.4166,-116.1262,53.6,62,75,3.44,US,1619290969
Hemsedal,60.8629,8.5534,19.38,79,53,6.55,NO,1619290969
Mananara,-16.1667,49.7667,73.87,93,98,5.68,MG,1619290970
Samarai,-10.6167,150.6667,82.4,78,88,14.32,PG,1619290970
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,68.94,93,97,7.23,AR,1619290970
Kasongo-Lunda,-6.4667,16.8167,69.78,95,85,0.85,CD,1619290933
Colares,38.7992,-9.4469,66.0,88,20,9.22,PT,1619290971
Pandan,14.0453,124.1694,77.7,82,58,4.21,PH,1619290971
Jutaí,-5.1833,-68.9,89.44,57,23,2.73,BR,1619290971
Nakatsugawa,35.4833,137.5,46.0,97,74,2.66,JP,1619290971
Koungou,-12.7336,45.2042,82.4,78,90,3.44,YT,1619290972
Meulaboh,4.1363,96.1285,75.88,85,100,2.82,ID,1619290972
Grøa,62.65,8.7167,35.6,87,40,4.61,NO,1619290972
Emerald,-23.5333,148.1667,62.6,48,40,10.36,AU,1619290875
Cabedelo,-6.9811,-34.8339,82.4,78,75,11.5,BR,1619290973
Dhidhdhoo,6.8833,73.1,83.5,72,16,3.65,MV,1619290883
Luwingu,-10.2621,29.9271,65.73,77,98,4.32,ZM,1619290973
Kynšperk nad Ohří,50.1189,12.5303,42.8,61,0,5.75,CZ,1619290973
Praia da Vitória,38.7333,-27.0667,62.6,77,75,28.41,PT,1619290973
Piossasco,44.9905,7.4637,66.2,42,0,2.3,IT,1619290974
Saint-Joseph,-21.3667,55.6167,77.0,88,75,27.63,RE,1619290974
Tsiroanomandidy,-18.7667,46.0333,68.29,79,88,3.22,MG,1619290975
Lüderitz,-26.6481,15.1594,62.08,85,7,5.28,NA,1619290975
Marrakesh,31.6315,-8.0083,69.8,52,75,14.97,MA,1619290823
Chumikan,54.7183,135.315,22.87,76,20,9.55,RU,1619290975
Kirakira,-10.4544,161.9205,78.84,82,100,2.75,SB,1619290975
Burnie,-41.0667,145.9167,46.0,91,38,3.0,AU,1619290976
Ginir,7.1333,40.7,59.0,88,82,4.36,ET,1619290976
Muros,42.7762,-9.0603,64.0,70,97,10.0,ES,1619290977
Mana,5.6592,-53.7767,78.49,87,100,11.65,GF,1619290977
Ixtapa,20.7,-105.2,82.4,57,75,9.22,MX,1619290810
Kenai,60.5544,-151.2583,44.01,70,1,4.61,US,1619290977
Suntar,62.1444,117.6319,34.34,86,100,4.45,RU,1619290977
Yuxia,34.0615,108.6291,53.6,87,40,8.95,CN,1619290978
Eureka,40.8021,-124.1637,53.01,84,100,7.0,US,1619290807
North Bend,43.4065,-124.2243,55.99,71,90,6.91,US,1619290842
Stabat,3.761,98.4513,77.0,100,40,2.3,ID,1619290978
Lucé,48.4369,1.4636,62.6,39,95,10.36,FR,1619290979
